lot_id,commodity,temperature,humidity,moisture_content,co2_level,oleoresin_content,colour_score,storage_days,initial_quality_grade,risk_score,risk_level,emoji,recommendation,top_factor_1,top_factor_2,top_factor_3,explanation
L-0020,chilli,28.0,59.8,11.5,794.7,3.8,59.1,56.9,C,97.0,Critical,🔴,Immediate QC inspection. Consider isolating or expediting this lot.,High moisture content (11.5%),Low oleoresin content (3.8%),High storage duration (57 days),"Lot L-0020 has a risk score of 97/100 (Critical). The main drivers are moisture content is 11.5%, above the safe limit of 11.0%; oleoresin content is 3.8%, below the expected level of 6.0%; storage duration is 57 days, above the safe limit of 45 days."
L-0018,chilli,30.8,70.8,11.6,767.9,6.1,70.5,26.8,B,95.0,Critical,🔴,Immediate QC inspection. Consider isolating or expediting this lot.,High moisture content (11.6%),High temperature (30.8°C),High humidity (70.8%),"Lot L-0018 has a risk score of 95/100 (Critical). The main drivers are moisture content is 11.6%, above the safe limit of 11.0%; temperature is 30.8°C, above the safe limit of 28.0°C; humidity is 70.8%, above the safe limit of 65.0%."
L-0024,chilli,33.0,64.8,9.4,770.8,6.7,71.0,79.4,A,83.0,Critical,🔴,Immediate QC inspection. Consider isolating or expediting this lot.,High storage duration (79 days),High temperature (33.0°C),High humidity (64.8%),"Lot L-0024 has a risk score of 83/100 (Critical). The main drivers are storage duration is 79 days, above the safe limit of 45 days; temperature is 33.0°C, above the safe limit of 28.0°C; humidity is 64.8%, higher than a typical lot."
L-0027,chilli,22.9,69.4,10.6,597.3,6.1,69.9,54.1,B,81.8,Critical,🔴,Immediate QC inspection. Consider isolating or expediting this lot.,High moisture content (10.6%),Low oleoresin content (6.1%),High humidity (69.4%),"Lot L-0027 has a risk score of 82/100 (Critical). The main drivers are moisture content is 10.6%, higher than a typical lot; oleoresin content is 6.1%, lower than a typical lot; humidity is 69.4%, above the safe limit of 65.0%."
L-0017,chilli,25.5,51.9,10.2,732.8,4.9,65.9,57.9,C,80.5,Critical,🔴,Immediate QC inspection. Consider isolating or expediting this lot.,Low oleoresin content (4.9%),High moisture content (10.2%),High storage duration (58 days),"Lot L-0017 has a risk score of 80/100 (Critical). The main drivers are oleoresin content is 4.9%, below the expected level of 6.0%; moisture content is 10.2%, higher than a typical lot; storage duration is 58 days, above the safe limit of 45 days."
L-0002,chilli,24.1,56.1,10.6,608.0,5.0,62.4,38.5,C,79.2,High,🟠,Prioritise for QC inspection in the next 24-48 hours.,Low oleoresin content (5.0%),High moisture content (10.6%),Low colour score (62.4/100),"Lot L-0002 has a risk score of 79/100 (High). The main drivers are oleoresin content is 5.0%, below the expected level of 6.0%; moisture content is 10.6%, higher than a typical lot; colour score is 62.4/100, below the expected level of 70.0/100."
L-0022,chilli,26.6,64.9,10.0,767.4,7.3,80.4,54.8,A,70.7,High,🟠,Prioritise for QC inspection in the next 24-48 hours.,High moisture content (10.0%),High humidity (64.9%),High co2 level (767 ppm),"Lot L-0022 has a risk score of 71/100 (High). The main drivers are moisture content is 10.0%, higher than a typical lot; humidity is 64.9%, higher than a typical lot; co2 level is 767 ppm, higher than a typical lot."
L-0006,chilli,21.4,60.9,10.4,669.5,4.9,64.2,31.7,C,67.8,High,🟠,Prioritise for QC inspection in the next 24-48 hours.,Low oleoresin content (4.9%),High moisture content (10.4%),High co2 level (670 ppm),"Lot L-0006 has a risk score of 68/100 (High). The main drivers are oleoresin content is 4.9%, below the expected level of 6.0%; moisture content is 10.4%, higher than a typical lot; co2 level is 670 ppm, higher than a typical lot."
L-0023,chilli,26.2,68.9,9.5,644.9,5.6,70.9,55.2,B,65.4,High,🟠,Prioritise for QC inspection in the next 24-48 hours.,Low oleoresin content (5.6%),High humidity (68.9%),High storage duration (55 days),"Lot L-0023 has a risk score of 65/100 (High). The main drivers are oleoresin content is 5.6%, below the expected level of 6.0%; humidity is 68.9%, above the safe limit of 65.0%; storage duration is 55 days, above the safe limit of 45 days."
L-0029,chilli,30.5,70.0,9.8,651.0,6.7,78.3,31.0,B,62.7,High,🟠,Prioritise for QC inspection in the next 24-48 hours.,High humidity (70.0%),High temperature (30.5°C),High co2 level (651 ppm),"Lot L-0029 has a risk score of 63/100 (High). The main drivers are humidity is 70.0%, above the safe limit of 65.0%; temperature is 30.5°C, above the safe limit of 28.0°C; co2 level is 651 ppm, higher than a typical lot."
L-0021,chilli,31.3,59.7,8.5,718.9,6.3,70.2,80.8,A,57.9,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High storage duration (81 days),High temperature (31.3°C),Low oleoresin content (6.3%),"Lot L-0021 has a risk score of 58/100 (Moderate). The main drivers are storage duration is 81 days, above the safe limit of 45 days; temperature is 31.3°C, above the safe limit of 28.0°C; oleoresin content is 6.3%, lower than a typical lot."
L-0028,chilli,27.8,55.4,11.1,499.0,5.8,73.4,2.8,C,54.5,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High moisture content (11.1%),Low oleoresin content (5.8%),High temperature (27.8°C),"Lot L-0028 has a risk score of 54/100 (Moderate). The main drivers are moisture content is 11.1%, above the safe limit of 11.0%; oleoresin content is 5.8%, below the expected level of 6.0%; temperature is 27.8°C, higher than a typical lot."
L-0007,chilli,27.3,71.4,9.3,630.4,7.2,78.7,41.9,A,51.6,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High humidity (71.4%),High temperature (27.3°C),High storage duration (42 days),"Lot L-0007 has a risk score of 52/100 (Moderate). The main drivers are humidity is 71.4%, above the safe limit of 65.0%; temperature is 27.3°C, higher than a typical lot; storage duration is 42 days, higher than a typical lot."
L-0003,chilli,30.8,63.5,9.8,561.7,6.8,76.6,7.3,B,49.6,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High temperature (30.8°C),High humidity (63.5%),High moisture content (9.8%),"Lot L-0003 has a risk score of 50/100 (Moderate). The main drivers are temperature is 30.8°C, above the safe limit of 28.0°C; humidity is 63.5%, higher than a typical lot; moisture content is 9.8%, higher than a typical lot."
L-0034,chilli,25.1,74.3,9.3,676.9,7.3,83.2,40.5,A,49.0,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High humidity (74.3%),High co2 level (677 ppm),High storage duration (40 days),"Lot L-0034 has a risk score of 49/100 (Moderate). The main drivers are humidity is 74.3%, above the safe limit of 65.0%; co2 level is 677 ppm, higher than a typical lot; storage duration is 40 days, higher than a typical lot."
L-0014,chilli,21.8,74.9,10.5,580.8,7.7,87.5,30.5,A,40.8,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High moisture content (10.5%),High humidity (74.9%),,"Lot L-0014 has a risk score of 41/100 (Moderate). The main drivers are moisture content is 10.5%, higher than a typical lot; humidity is 74.9%, above the safe limit of 65.0%."
L-0030,chilli,30.1,47.5,9.4,616.4,6.2,68.7,30.9,B,39.6,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,Low oleoresin content (6.2%),High temperature (30.1°C),Low colour score (68.7/100),"Lot L-0030 has a risk score of 40/100 (Moderate). The main drivers are oleoresin content is 6.2%, lower than a typical lot; temperature is 30.1°C, above the safe limit of 28.0°C; colour score is 68.7/100, below the expected level of 70.0/100."
L-0015,chilli,26.1,63.2,9.3,618.0,6.7,73.5,48.8,B,36.4,Moderate,🟡,Watch this lot. Re-check sensor and lab values within the week.,High humidity (63.2%),High storage duration (49 days),,"Lot L-0015 has a risk score of 36/100 (Moderate). The main drivers are humidity is 63.2%, higher than a typical lot; storage duration is 49 days, above the safe limit of 45 days."
