lot_id,commodity,temperature,humidity,moisture_content,co2_level,oleoresin_content,colour_score,storage_days,initial_quality_grade,grade_ordinal,risk_score,risk_level
L-0001,chilli,24.57391000775211,52.82695705202511,9.92962209194505,615.4729208819397,7.485652452399971,78.24040400237803,2.7218047250321997,B,1,21.0,healthy
L-0002,chilli,22.517983796196013,61.18328207561447,9.857455143016614,539.1759902253095,7.854455191296456,75.93986160921476,66.19852845162293,A,0,74.8,high
L-0003,chilli,21.04853098114256,56.48319244852019,11.4103860607187,573.1114733916775,5.071400164490302,67.88716950756539,26.31662744375275,C,2,81.0,critical
L-0004,chilli,27.700311619951805,52.855374216486155,8.6911766223467,727.1184411901512,6.555627483439451,68.96119556129277,52.542267359658524,B,1,45.3,moderate
L-0005,chilli,22.175009314202917,47.07993730810087,7.568596311490517,588.4430676237071,8.750346407940143,90.19027908710477,0.6881313099596332,A,0,0.2,healthy
L-0006,chilli,19.70447028732888,55.542774512216596,9.843115867594324,502.24534261571216,4.363298526320055,60.87116427346248,47.351742112582144,C,2,48.7,moderate
L-0007,chilli,22.270801665074156,64.61346135591884,10.326439740283076,506.42997355178244,6.576933424975694,76.1054811285149,15.245333484268281,B,1,14.3,healthy
L-0008,chilli,28.31589591346889,46.997080397085725,8.602230528276465,563.47012897096,5.175379037418971,72.89941430244758,30.16805460702703,B,1,44.2,moderate
L-0009,chilli,35.10684324270662,50.459831547015,8.621066905940495,682.2172143892975,7.7444966069149945,76.4148471944949,47.89766544273406,A,0,16.2,healthy
L-0010,chilli,28.90945513832475,56.795061652645586,9.763578137575333,651.2078921654246,7.506278890402547,71.79195546795326,28.01684548008467,B,1,36.2,moderate
L-0011,chilli,29.299231828225732,57.90215536327942,10.246977208094998,783.1013782018107,7.898240288799869,84.16170534225954,43.86008195869097,A,0,78.0,high
L-0012,chilli,27.642995422703486,61.31721175614946,11.286913015102563,717.7180667174507,4.273467237603634,61.92574586694904,22.77276359188818,C,2,80.1,critical
L-0013,chilli,27.875081876380158,49.20672476819134,8.347958662738632,709.0608209963889,5.4172329204034195,55.97591852005206,69.82927691079149,B,1,70.4,high
L-0014,chilli,34.420551366831376,63.18694633666847,9.979145694742952,777.5086493196566,5.490826720206266,66.32734251939712,26.258043537088476,B,1,89.4,critical
L-0015,chilli,23.480795813648847,60.15163171173847,9.578875805794093,568.650324431849,8.04798292164708,82.4250655459331,26.686110980655037,A,0,6.9,healthy
L-0016,chilli,25.941149971726574,62.53691147223035,9.383988100927498,647.0266655089561,7.8821492615738595,79.0080652610198,27.0853071122962,A,0,35.6,moderate
L-0017,chilli,25.10337790576794,69.81585912965667,10.540275080624776,696.0126241544892,6.620163598137003,73.18706429900787,29.52062555387908,B,1,58.4,moderate
L-0018,chilli,26.195965225310083,58.6488599828386,8.706269235694721,544.7549235560531,7.91515130571899,86.65722956882718,8.995452441017688,A,0,7.2,healthy
L-0019,chilli,21.535885904837013,54.39839729005337,8.837087104737813,567.0048504453825,6.475282435475653,72.3326588930196,12.63780518273443,B,1,9.2,healthy
L-0020,chilli,27.849970136999605,71.7298826648554,10.916167596967849,711.0691605812498,5.8640602662780825,65.02065472411523,58.09660119439486,B,1,87.2,critical
L-0021,chilli,26.90885043872092,74.52676073558848,9.983368542196354,763.4999799672619,6.489637835350644,66.87677130968937,52.52062574069736,B,1,80.8,critical
L-0022,chilli,29.132947930111175,50.17705267715013,9.08243578988078,786.4455147861531,6.522009169219732,79.12606234550027,50.16537869618118,A,0,45.0,moderate
L-0023,chilli,29.100443785510688,63.18441473522716,10.373257699869075,778.3710854692921,5.3039895027296025,59.3645078012393,41.00014572322332,C,2,90.5,critical
L-0024,chilli,28.873006425981256,74.10731020774273,11.55288001685148,579.7323910278353,5.106262678798581,61.15125380250003,19.31783905323128,C,2,96.7,critical
L-0025,chilli,27.03466397281091,56.1805861194705,9.881890577548102,590.9028930185129,6.665803312062991,77.7031224518351,17.65975691730083,B,1,27.4,healthy
L-0026,chilli,27.879738242709966,62.039059272621,9.327028466698687,662.7830591142675,6.958709055752033,80.3559651648625,28.555653377700935,A,0,43.1,moderate
L-0027,chilli,23.958539620792738,65.98031295012916,9.824496241167298,745.9621885581639,6.357777035624216,68.16345444139962,64.46175063182653,B,1,71.5,high
L-0028,chilli,23.740456966366303,55.96056386458056,8.49312746708471,597.4864804401325,6.231757136477425,87.70123782241319,34.28557830241167,A,0,4.4,healthy
L-0029,chilli,31.02644616710236,63.22801734673232,10.137353624250188,727.1243584883134,7.829384109040547,81.99967779008682,12.050106380516413,A,0,80.7,critical
L-0030,chilli,25.045942778223967,61.442825945153736,9.796896296985867,461.18650231501624,6.662721874036089,80.08489855095452,7.145044737803085,B,1,33.6,moderate
L-0031,chilli,28.031901933704347,48.90043581662204,8.79929722066022,697.7053581136204,5.9570049063139505,58.732276480077324,53.687119372380465,B,1,40.2,moderate
